year,yeartype,baseyear_2017,baseyear_2018
1915,fiscal,24.20258892,24.788933
1916,fiscal,23.04010236,23.59828346
1917,fiscal,19.82447832,20.3047561
1918,fiscal,16.97269722,17.38388631
1919,fiscal,14.53598112,14.88813711
1920,fiscal,12.35159561,12.65083157
1921,fiscal,13.23425147,13.5548711
1922,fiscal,14.42846647,14.77801775
1923,fiscal,14.40715411,14.75618907
1924,fiscal,14.22505105,14.56967428
1925,fiscal,14.02729147,14.36712368
1926,fiscal,13.73752582,14.07033803
1927,fiscal,13.98037745,14.3190731
1928,fiscal,14.17680717,14.52026163
1929,fiscal,14.23196984,14.5767607
1930,fiscal,14.40006398,14.74892717
1931,fiscal,15.62249333,16.0009717
1932,fiscal,17.3861735,17.80737968
1933,fiscal,18.85369201,19.31045103
1934,fiscal,18.31096996,18.75458073
1935,fiscal,17.86381563,18.29659341
1936,fiscal,17.65898008,18.08679541
1937,fiscal,17.101654,17.51596727
1938,fiscal,17.15177608,17.56730363
1939,fiscal,17.53201318,17.95675255
1940,fiscal,17.41722024,17.83917857
1941,fiscal,16.95303013,17.36374276
1942,fiscal,15.25595933,15.62555787
1943,fiscal,14.21123361,14.5555221
1944,fiscal,13.92714422,14.26455021
1945,fiscal,13.62875175,13.95892874
1946,fiscal,13.00485778,13.31992
1947,fiscal,11.16829389,11.4388626
1948,fiscal,10.25619699,10.50466877
1949,fiscal,10.18479986,10.43154194
1950,fiscal,10.24542367,10.49363445
1951,fiscal,9.54057059,9.771705249
1952,fiscal,9.213139169,9.43634131
1953,fiscal,9.129775351,9.3509578779999991
1954,fiscal,9.067533313,9.287207933
1955,fiscal,9.115554517,9.336392523
1956,fiscal,9.025579889,9.244238125
1957,fiscal,8.745047818,8.956909743
1958,fiscal,8.491273941,8.696987812
1959,fiscal,8.398659587,8.602129736
1960,fiscal,8.272810291,8.473231552
1961,fiscal,8.171161687,8.369120357
1962,fiscal,8.087598121,8.283532338
1963,fiscal,7.990423266,8.184003277
1964,fiscal,7.882793642,8.073766164
1965,fiscal,7.773892136,7.962226355
1966,fiscal,7.580551813,7.764202073
1967,fiscal,7.359388833,7.537681087
1968,fiscal,7.091839554,7.263650024
1969,fiscal,6.743703618,6.907079972
1970,fiscal,6.36660792,6.520848564
1971,fiscal,6.073252387,6.220386052
1972,fiscal,5.88159397,6.024084422
1973,fiscal,5.60232242,5.738047099
1974,fiscal,5.089742564,5.213049226
1975,fiscal,4.610924992,4.722631579
1976,fiscal,4.338166049,4.44326464
1977,fiscal,4.087863928,4.186898575
1978,fiscal,3.818967632,3.911487862
1979,fiscal,3.461602981,3.545465515
1980,fiscal,3.047696073,3.121531091
1981,fiscal,2.743383649,2.80984624
1982,fiscal,2.55487034,2.616765913
1983,fiscal,2.468235344,2.528032054
1984,fiscal,2.370841841,2.428279047
1985,fiscal,2.286546065,2.34194108
1986,fiscal,2.231784761,2.2858531
1987,fiscal,2.169726383,2.222291265
1988,fiscal,2.083814984,2.134298533
1989,fiscal,1.989186268,2.037377294
1990,fiscal,1.894647112,1.940547786
1991,fiscal,1.803669482,1.847366085
1992,fiscal,1.75089337,1.793311393
1993,fiscal,1.699339683,1.74050874
1994,fiscal,1.655872899,1.695988908
1995,fiscal,1.610663841,1.649684593
1996,fiscal,1.566850335,1.604809639
1997,fiscal,1.526152923,1.563126271
1998,fiscal,1.501638612,1.538018064
1999,fiscal,1.47336002,1.509054381
2000,fiscal,1.427989361,1.462584549
2001,fiscal,1.383430098,1.416945771
2002,fiscal,1.363002143,1.396022918
2003,fiscal,1.331737211,1.364000546
2004,fiscal,1.301526999,1.333058447
2005,fiscal,1.260106369,1.29063434
2006,fiscal,1.215356787,1.244800631
2007,fiscal,1.187508827,1.216278013
2008,fiscal,1.136985716,1.164530903
2009,fiscal,1.14068183,1.168316562
2010,fiscal,1.121783648,1.148960543
2011,fiscal,1.092788052,1.119262485
2012,fiscal,1.067017198,1.092867293
2013,fiscal,1.049922855,1.075358814
2014,fiscal,1.033187717,1.058218242
2015,fiscal,1.029987669,1.054940668
2016,fiscal,1.020514977,1.045238486
2017,fiscal,1,1.024226503
2018,fiscal,1.024226503,1
